Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-05-06 23:43:14;2018-05-07 08:08:53;81%;8:25;;;0;1643
2018-05-08 00:01:28;2018-05-08 08:15:52;83%;8:14;;;0;1206
2018-05-09 02:52:36;2018-05-09 09:18:35;72%;6:25;;;0;1019
2018-05-10 01:00:01;2018-05-10 09:36:24;93%;8:36;;;0;813
2018-05-11 02:18:19;2018-05-11 08:44:48;69%;6:26;;;0;1298
2018-05-12 02:20:11;2018-05-12 10:30:10;95%;8:09;;;0;2800
2018-05-13 00:55:34;2018-05-13 08:07:20;78%;7:11;;;0;1542
2018-05-13 21:35:30;2018-05-14 04:42:18;75%;7:06;;;0;1304
2018-05-14 20:50:31;2018-05-15 04:52:24;86%;8:01;;;0;4885
2018-05-15 21:24:16;2018-05-16 04:18:26;75%;6:54;;;0;4081
2018-05-16 04:18:47;2018-05-16 05:04:04;10%;0:45;;;0;4081
2018-05-16 21:26:54;2018-05-17 04:57:04;76%;7:30;;;0;2035
2018-05-17 21:52:35;2018-05-18 05:46:35;88%;7:53;;;0;2604
2018-05-19 03:23:16;2018-05-19 08:52:43;65%;5:29;;;0;1802
2018-05-20 02:18:36;2018-05-20 09:12:11;81%;6:53;;;0;303
2018-05-20 21:42:59;2018-05-21 05:08:41;84%;7:25;;;0;908
2018-05-21 21:14:29;2018-05-22 04:42:14;78%;7:27;;;0;661
2018-05-22 21:18:51;2018-05-23 04:40:33;82%;7:21;;;0;3261
2018-05-23 22:07:54;2018-05-24 05:15:44;80%;7:07;;;0;1221
2018-05-24 22:13:14;2018-05-25 07:04:14;96%;8:50;;;0;3046
2018-05-25 22:28:45;2018-05-26 08:38:26;99%;10:09;;;0;573
2018-05-26 22:49:00;2018-05-27 07:46:19;97%;8:57;;;0;966
2018-05-28 01:53:34;2018-05-28 09:22:08;80%;7:28;;;0;11890
2018-05-28 20:56:39;2018-05-28 21:34:51;8%;0:38;;;0;1576
2018-05-28 22:02:26;2018-05-29 06:03:42;82%;8:01;;;0;1694
2018-05-29 21:40:47;2018-05-30 05:13:43;83%;7:32;;;0;3040
2018-05-30 21:26:46;2018-05-31 03:59:43;68%;6:32;;;0;2404
2018-05-31 22:34:35;2018-06-01 06:36:00;87%;8:01;;;0;1404
2018-06-01 23:46:33;2018-06-02 06:39:42;83%;6:53;;;0;808
2018-06-03 20:55:40;2018-06-04 04:50:58;85%;7:55;;;0;8563
2018-06-04 22:02:30;2018-06-05 05:36:47;81%;7:34;;;0;2728
2018-06-05 21:01:48;2018-06-06 05:36:53;92%;8:35;;;0;1526
2018-06-06 21:14:34;2018-06-07 04:57:36;85%;7:43;;;0;1881
2018-06-07 22:30:47;2018-06-08 07:17:35;97%;8:46;;;0;2082
2018-06-08 22:57:05;2018-06-09 07:29:48;96%;8:32;;;0;2252
2018-06-10 00:27:44;2018-06-10 07:51:26;84%;7:23;;;0;2212
